ticker,status,missing_file
AAPL,done_already,
AMGN,missing_data,exp_tecnn_mock_protocol/data/AMGN/data_79.npz
AXP,missing_data,exp_tecnn_mock_protocol/data/AXP/data_79.npz
BA,missing_data,exp_tecnn_mock_protocol/data/BA/data_79.npz
CAT,missing_data,exp_tecnn_mock_protocol/data/CAT/data_79.npz
CRM,missing_data,exp_tecnn_mock_protocol/data/CRM/data_79.npz
CSCO,missing_data,exp_tecnn_mock_protocol/data/CSCO/data_79.npz
CVX,done_already,
DIS,missing_data,exp_tecnn_mock_protocol/data/DIS/data_79.npz
GS,missing_data,exp_tecnn_mock_protocol/data/GS/data_79.npz
HD,missing_data,exp_tecnn_mock_protocol/data/HD/data_79.npz
HON,missing_data,exp_tecnn_mock_protocol/data/HON/data_79.npz
IBM,missing_data,exp_tecnn_mock_protocol/data/IBM/data_79.npz
INTC,missing_data,exp_tecnn_mock_protocol/data/INTC/data_79.npz
JNJ,done_already,
JPM,done_already,
KO,missing_data,exp_tecnn_mock_protocol/data/KO/data_79.npz
MCD,missing_data,exp_tecnn_mock_protocol/data/MCD/data_79.npz
MMM,missing_data,exp_tecnn_mock_protocol/data/MMM/data_79.npz
MRK,missing_data,exp_tecnn_mock_protocol/data/MRK/data_79.npz
MSFT,done_already,
NKE,missing_data,exp_tecnn_mock_protocol/data/NKE/data_79.npz
PG,missing_data,exp_tecnn_mock_protocol/data/PG/data_79.npz
TRV,missing_data,exp_tecnn_mock_protocol/data/TRV/data_79.npz
UNH,missing_data,exp_tecnn_mock_protocol/data/UNH/data_79.npz
V,missing_data,exp_tecnn_mock_protocol/data/V/data_79.npz
VZ,missing_data,exp_tecnn_mock_protocol/data/VZ/data_79.npz
WBA,missing_data,exp_tecnn_mock_protocol/data/WBA/data_79.npz
WMT,missing_data,exp_tecnn_mock_protocol/data/WMT/data_79.npz
